Date,Depth,Energy,Iterations
2021-01-04,1,-1.212905826090317,125
2021-01-04,2,-1.2892530653498624,100
2021-01-04,3,-1.2815186481970455,2000
2021-01-04,4,-1.2864313551986535,900
2021-01-04,5,-1.2585279245340772,2000
2021-01-04,6,-1.2819364359863785,1950
2021-02-02,1,-1.2327439081337848,125
2021-02-02,2,-1.2701680487234468,100
2021-02-02,3,-1.2599566769907355,1225
2021-02-02,4,-1.2689440396480136,125
2021-02-02,5,-1.2480005355252246,1150
2021-02-02,6,-1.2694417140786487,175
2021-03-04,1,-1.2304391198222562,2000
2021-03-04,2,-1.2895470406416738,2000
2021-03-04,3,-1.2155724820980933,2000
2021-03-04,4,-1.2084897402996433,300
2021-03-04,5,-1.2751366887373417,2000
2021-03-04,6,-1.2058758456926786,175
2021-04-06,1,-1.2997894839723838,2000
2021-04-06,2,-1.2518855311785484,2000
2021-04-06,3,-1.3173139030676688,2000
2021-04-06,4,-1.2282905519499356,2000
2021-04-06,5,-1.308857971362861,2000
2021-04-06,6,-1.2376729846615198,2000
2021-05-05,1,-1.2299204893881748,2000
2021-05-05,2,-1.2891812067771964,2000
2021-05-05,3,-1.2148825234352147,2000
2021-05-05,4,-1.2100091650638043,1000
2021-05-05,5,-1.2940446510942334,1350
2021-05-05,6,-1.2198101437500057,2000
2021-06-10,1,-1.2492288528325235,125
2021-06-10,2,-1.2522751632361908,100
2021-06-10,3,-1.250850227945627,225
2021-06-10,4,-1.2521652565996824,175
2021-06-10,5,-1.2501723338918034,325
2021-06-10,6,-1.252241736315676,150
2021-07-09,1,-1.2401892529590353,100
2021-07-09,2,-1.254191874508331,350
2021-07-09,3,-1.2410587678394904,150
2021-07-09,4,-1.2446521078932133,275
2021-07-09,5,-1.2401282681834143,200
2021-07-09,6,-1.254790104850387,325
2021-08-10,1,-1.2685017395615552,2000
2021-08-10,2,-1.2746521453993709,2000
2021-08-10,3,-1.2859802125504989,2000
2021-08-10,4,-1.2482998246823165,2000
2021-08-10,5,-1.2990871937772948,2000
2021-08-10,6,-1.2351330884058092,2000
2021-09-10,1,-1.2242602678640144,2000
2021-09-10,2,-1.279208143356371,2000
2021-09-10,3,-1.2203836379925743,2000
2021-09-10,4,-1.2366179547306644,2000
2021-09-10,5,-1.254710596680586,2000
2021-09-10,6,-1.2561329496427303,2000
2021-10-11,1,-1.2453248015044058,125
2021-10-11,2,-1.2553080972078323,100
2021-10-11,3,-1.2508091614646812,250
2021-10-11,4,-1.254881603087947,200
2021-10-11,5,-1.254881057413561,300
2021-10-11,6,-1.25497570244346,175
2021-11-10,1,-1.2390605142510975,100
2021-11-10,2,-1.2543279959533487,525
2021-11-10,3,-1.2399650165005065,200
2021-11-10,4,-1.2403843974336686,175
2021-11-10,5,-1.2464530802343339,325
2021-11-10,6,-1.2414255404246424,175
2021-12-09,1,-1.2267243481032724,125
2021-12-09,2,-1.2396402376721782,2000
2021-12-09,3,-1.2418243801455882,2000
2021-12-09,4,-1.229405726729449,175
2021-12-09,5,-1.2607859078473216,2000
2021-12-09,6,-1.2264039623484126,150
2022-01-10,1,-1.2309463117377044,100
2022-01-10,2,-1.2612398735965438,1850
2022-01-10,3,-1.232049785596565,150
2022-01-10,4,-1.2614483423803025,975
2022-01-10,5,-1.2308743232023613,150
2022-01-10,6,-1.2612964211923712,1125
2022-02-09,1,-1.2238976141043774,2000
2022-02-09,2,-1.2780082717688974,2000
2022-02-09,3,-1.218600761910705,725
2022-02-09,4,-1.2646168919493694,2000
2022-02-09,5,-1.2387449025327482,2000
2022-02-09,6,-1.218356656022707,200
2022-03-14,1,-1.2660885417472598,2000
2022-03-14,2,-1.2501024903900992,2000
2022-03-14,3,-1.3022073846416864,2000
2022-03-14,4,-1.2345685106415618,2000
2022-03-14,5,-1.2990077494012577,2000
2022-03-14,6,-1.2732907948109071,2000
2022-04-12,1,-1.247727311328291,2000
2022-04-12,2,-1.286997383206264,2000
2022-04-12,3,-1.2334725126632506,2000
2022-04-12,4,-1.20852302643533,2000
2022-04-12,5,-1.297094925692135,2000
