Depth,Iteration,Energy
1,25,-1.2485048149679732
1,50,-1.248513780802434
1,75,-1.248513682887991
1,100,-1.2485139001004124
2,25,-1.1552913214603282
2,50,-1.24937865629616
2,75,-1.2502543729838977
2,100,-1.2505405785061345
2,125,-1.2505594573542895
2,150,-1.2505601203723313
2,175,-1.2505653270452477
3,25,-1.2288438062961655
3,50,-1.2454597859146657
3,75,-1.2474990751676271
3,100,-1.2480168729048622
3,125,-1.2482762651683799
3,150,-1.2483476367664883
3,175,-1.2484329328687358
3,200,-1.2484821497664715
3,225,-1.2484960671166583
3,250,-1.2485045513071453
4,25,-1.174320641845894
4,50,-1.2453884180911867
4,75,-1.249586668007343
4,100,-1.2500639287685416
4,125,-1.2502484868466481
4,150,-1.250283266886746
4,175,-1.2502902117959978
4,200,-1.250292813107877
5,25,-1.2464583693106355
5,50,-1.2484063186358825
5,75,-1.248799919239087
5,100,-1.2488652725711256
5,125,-1.248878720258421
5,150,-1.248882218516337
6,25,-1.2049355307536471
6,50,-1.2476582827968272
6,75,-1.2481643596960903
6,100,-1.2484965414438745
6,125,-1.2486050825859598
6,150,-1.2486549165955771
6,175,-1.248670329922271
6,200,-1.2486761943409441
