Date,Iteration,Bitstring,Energy,Swap
2021-01-04,0,10,-1.2129078584212771,Initial
2021-01-04,1,01,-1.2892791724799006,0<->1
2021-02-02,0,10,-1.2327456480268228,Initial
2021-02-02,1,01,-1.2701869712512632,0<->1
2021-03-04,0,10,-1.2971133871887701,Initial
2021-04-06,0,10,-1.325393318319951,Initial
2021-05-05,0,10,-1.2967632403287885,Initial
2021-06-10,0,10,-1.2492301301607114,Initial
2021-06-10,1,01,-1.2522810997340192,0<->1
2021-07-09,0,10,-1.2607539257937055,Initial
2021-08-10,0,10,-1.3135063334818295,Initial
2021-09-10,0,10,-1.2854181584222308,Initial
2021-10-11,0,10,-1.2453287065567393,Initial
2021-10-11,1,01,-1.2553194939292551,0<->1
2021-11-10,0,10,-1.2617274569547443,Initial
2021-12-09,0,10,-1.274600937559283,Initial
2022-01-10,0,10,-1.2698228173745456,Initial
2022-02-09,0,10,-1.2841516220867308,Initial
2022-03-14,0,10,-1.313074308849774,Initial
2022-04-12,0,10,-1.3060386185548298,Initial
2022-05-23,0,10,-1.3202919605309305,Initial
2022-06-23,0,10,-1.2387013101272994,Initial
2022-06-23,1,01,-1.2622401304889121,0<->1
2022-07-22,0,10,-1.293533200955062,Initial
2022-08-23,0,10,-1.299975263931174,Initial
2022-09-21,0,10,-1.2209927113382444,Initial
2022-09-21,1,01,-1.2804190493213323,0<->1
2022-10-20,0,10,-1.1895490116657452,Initial
2022-10-20,1,01,-1.3117633040399692,0<->1
2022-11-18,0,10,-1.1754570378135274,Initial
2022-11-18,1,01,-1.3253106801211827,0<->1
2022-12-19,0,10,-1.1206770258152665,Initial
2022-12-19,1,01,-1.3800660955161494,0<->1
2023-01-17,0,10,-1.1489280902838646,Initial
2023-01-17,1,01,-1.3518496022125746,0<->1
2023-02-16,0,10,-1.086813524302751,Initial
2023-02-16,1,01,-1.4138360057120078,0<->1
2023-03-17,0,10,-1.2148087026816299,Initial
2023-03-17,1,01,-1.286077174402707,0<->1
2023-04-27,0,10,-1.205241212794001,Initial
2023-04-27,1,01,-1.2954840691782739,0<->1
2023-05-30,0,10,-1.2446184667097,Initial
2023-05-30,1,01,-1.256052428144845,0<->1
2023-07-05,0,10,-1.2716757556457197,Initial
2023-08-04,0,10,-1.1783675925800792,Initial
2023-08-04,1,01,-1.32199043057428,0<->1
2023-09-05,0,10,-1.2270064176862154,Initial
2023-09-05,1,01,-1.2732789512486489,0<->1
2023-10-05,0,10,-1.1798114791541845,Initial
2023-10-05,1,01,-1.3204688854648479,0<->1
2023-11-03,0,10,-1.1997970283921453,Initial
2023-11-03,1,01,-1.3003339716560807,0<->1
2023-12-04,0,10,-1.2516551143418175,Initial
