Depth,Iteration,Energy
1,25,-2.5000346286627755
1,50,-2.500059260986647
1,75,-2.500059735677357
1,100,-2.500059247415357
2,25,1.1779422264987924
2,50,-1.3748068427102889
2,75,-2.3055142446244012
2,100,-2.413167257841229
2,125,-2.4646894069484397
2,150,-2.4868708087218163
2,175,-2.4933305516047417
2,200,-2.4965868592365243
2,225,-2.4979789694985612
2,250,-2.4986484178381168
2,275,-2.4991679051338265
2,300,-2.4994758898728073
2,325,-2.4997112916183752
2,350,-2.499833213088757
2,375,-2.4999122199655535
2,400,-2.499945643922163
3,25,-2.0477540449718155
3,50,-2.409205914561512
3,75,-2.4754596767507038
3,100,-2.4887965120902193
3,125,-2.4934541839708464
3,150,-2.4954520417181767
3,175,-2.496984432359144
3,200,-2.4980774865636666
3,225,-2.498576334372629
3,250,-2.498894622062002
3,275,-2.499187947407737
3,300,-2.499429093175352
3,325,-2.499530969091139
3,350,-2.4996536709729438
3,375,-2.499741507332084
3,400,-2.499785293598058
3,425,-2.4998416494485576
4,25,0.8189372495372633
4,50,-1.6186645375777662
4,75,-2.286234571910457
4,100,-2.452584100738568
4,125,-2.479186443431111
4,150,-2.492443405841948
4,175,-2.49682173426411
4,200,-2.498878001579988
4,225,-2.4995830805442676
4,250,-2.4999268586428904
4,275,-2.500055458171595
4,300,-2.5001175532512034
4,325,-2.5001352644351864
5,25,-2.1123115652537363
5,50,-2.413490022801304
5,75,-2.480543462335931
5,100,-2.493818422110517
5,125,-2.497336219301104
5,150,-2.499009106053984
5,175,-2.499737903580246
5,200,-2.499920087465291
5,225,-2.4999964884462695
5,250,-2.5000386472423526
5,275,-2.5000618757479702
6,25,0.3418018929559148
6,50,-1.5702543540084826
6,75,-2.1993296731605385
6,100,-2.363539807631984
6,125,-2.4175067785808735
6,150,-2.45225816292883
6,175,-2.4645599538496925
6,200,-2.4780126532364477
6,225,-2.4831090738252484
6,250,-2.4855719164048744
6,275,-2.488494331206178
6,300,-2.4914958723246508
6,325,-2.49281655023258
6,350,-2.494283961610979
6,375,-2.4952326904494293
6,400,-2.4960932038395813
6,425,-2.4968306867235306
6,450,-2.497393873953768
6,475,-2.4978677085895917
6,500,-2.498143816759622
6,525,-2.4986136007642425
6,550,-2.4988079791403703
6,575,-2.4990557846721018
6,600,-2.499257256600837
6,625,-2.4993788872929734
6,650,-2.499443317120613
6,675,-2.499516202084178
6,700,-2.4995790263708155
